"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US26001000100","Census Tract 1, Alcona County, Michigan","1699","94"
"1400000US26001970100","Census Tract 9701, Alcona County, Michigan","2482","120"
"1400000US26001970400","Census Tract 9704, Alcona County, Michigan","2802","121"
"1400000US26001970500","Census Tract 9705, Alcona County, Michigan","2019","106"
"1400000US26001970600","Census Tract 9706, Alcona County, Michigan","1351","121"
"1400000US26001990000","Census Tract 9900, Alcona County, Michigan","0","10"
"1400000US26003000100","Census Tract 1, Alger County, Michigan","3540","264"
"1400000US26003000200","Census Tract 2, Alger County, Michigan","2644","199"
"1400000US26003000300","Census Tract 3, Alger County, Michigan","2967","284"
"1400000US26003990000","Census Tract 9900, Alger County, Michigan","0","10"
"1400000US26005030200","Census Tract 302, Allegan County, Michigan","3340","210"
"1400000US26005030300","Census Tract 303, Allegan County, Michigan","7796","31"
"1400000US26005030401","Census Tract 304.01, Allegan County, Michigan","7764","23"
"1400000US26005030402","Census Tract 304.02, Allegan County, Michigan","5370","176"
"1400000US26005030500","Census Tract 305, Allegan County, Michigan","7850","174"
"1400000US26005030600","Census Tract 306, Allegan County, Michigan","5338","254"
"1400000US26005030702","Census Tract 307.02, Allegan County, Michigan","4850","242"
"1400000US26005030703","Census Tract 307.03, Allegan County, Michigan","2814","292"
"1400000US26005030704","Census Tract 307.04, Allegan County, Michigan","5016","268"
"1400000US26005030800","Census Tract 308, Allegan County, Michigan","5042","235"
"1400000US26005030901","Census Tract 309.01, Allegan County, Michigan","3176","193"
"1400000US26005030902","Census Tract 309.02, Allegan County, Michigan","2471","195"
"1400000US26005031000","Census Tract 310, Allegan County, Michigan","6289","397"
"1400000US26005031100","Census Tract 311, Allegan County, Michigan","6693","217"
"1400000US26005031200","Census Tract 312, Allegan County, Michigan","5487","216"
"1400000US26005031300","Census Tract 313, Allegan County, Michigan","4886","196"
"1400000US26005031800","Census Tract 318, Allegan County, Michigan","4691","243"
"1400000US26005031900","Census Tract 319, Allegan County, Michigan","5152","240"
"1400000US26005032000","Census Tract 320, Allegan County, Michigan","5046","340"
"1400000US26005032100","Census Tract 321, Allegan County, Michigan","4724","324"
"1400000US26005032200","Census Tract 322, Allegan County, Michigan","5144","208"
"1400000US26005032401","Census Tract 324.01, Allegan County, Michigan","1592","166"
"1400000US26005032402","Census Tract 324.02, Allegan County, Michigan","4074","224"
"1400000US26005032600","Census Tract 326, Allegan County, Michigan","1538","157"
"1400000US26005990000","Census Tract 9900, Allegan County, Michigan","0","10"
"1400000US26007000100","Census Tract 1, Alpena County, Michigan","4647","218"
"1400000US26007000200","Census Tract 2, Alpena County, Michigan","3917","253"
"1400000US26007000300","Census Tract 3, Alpena County, Michigan","3414","252"
"1400000US26007000400","Census Tract 4, Alpena County, Michigan","2912","214"
