"Label (Grouping)","Gini Index"
"Allegan County, Michigan",""
"    Estimate","0.4018"
"    Margin of Error","±0.0270"
"Bay County, Michigan",""
"    Estimate","0.4335"
"    Margin of Error","±0.0205"
"Berrien County, Michigan",""
"    Estimate","0.4882"
"    Margin of Error","±0.0294"
"Calhoun County, Michigan",""
"    Estimate","0.4461"
"    Margin of Error","±0.0237"
"Clinton County, Michigan",""
"    Estimate","0.4215"
"    Margin of Error","±0.0209"
"Eaton County, Michigan",""
"    Estimate","0.4018"
"    Margin of Error","±0.0218"
"Genesee County, Michigan",""
"    Estimate","0.4593"
"    Margin of Error","±0.0161"
"Grand Traverse County, Michigan",""
"    Estimate","0.4553"
"    Margin of Error","±0.0502"
"Ingham County, Michigan",""
"    Estimate","0.4629"
"    Margin of Error","±0.0157"
"Isabella County, Michigan",""
"    Estimate","0.4877"
"    Margin of Error","±0.0271"
"Jackson County, Michigan",""
"    Estimate","0.4582"
"    Margin of Error","±0.0329"
"Kalamazoo County, Michigan",""
"    Estimate","0.4687"
"    Margin of Error","±0.0163"
"Kent County, Michigan",""
"    Estimate","0.4486"
"    Margin of Error","±0.0156"
"Lapeer County, Michigan",""
"    Estimate","0.4101"
"    Margin of Error","±0.0253"
"Lenawee County, Michigan",""
"    Estimate","0.4209"
"    Margin of Error","±0.0318"
"Livingston County, Michigan",""
"    Estimate","0.4180"
"    Margin of Error","±0.0215"
"Macomb County, Michigan",""
"    Estimate","0.4160"
"    Margin of Error","±0.0091"
"Marquette County, Michigan",""
"    Estimate","0.4011"
"    Margin of Error","±0.0262"
"Midland County, Michigan",""
"    Estimate","0.4588"
"    Margin of Error","±0.0314"
"Monroe County, Michigan",""
"    Estimate","0.4412"
"    Margin of Error","±0.0266"
"Muskegon County, Michigan",""
"    Estimate","0.4505"
"    Margin of Error","±0.0261"
"Oakland County, Michigan",""
"    Estimate","0.4685"
"    Margin of Error","±0.0080"
"Ottawa County, Michigan",""
"    Estimate","0.4150"
"    Margin of Error","±0.0184"
"Saginaw County, Michigan",""
"    Estimate","0.4867"
"    Margin of Error","±0.0322"
"St. Clair County, Michigan",""
"    Estimate","0.4237"
"    Margin of Error","±0.0138"
"Shiawassee County, Michigan",""
"    Estimate","0.4136"
"    Margin of Error","±0.0241"
"Van Buren County, Michigan",""
"    Estimate","0.4038"
"    Margin of Error","±0.0252"
"Washtenaw County, Michigan",""
"    Estimate","0.4801"
"    Margin of Error","±0.0150"
"Wayne County, Michigan",""
"    Estimate","0.4855"
"    Margin of Error","±0.0078"
