"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"1701","117","1400000US26001000100","Census Tract 1, Alcona County, Michigan"
"2403","132","1400000US26001970100","Census Tract 9701, Alcona County, Michigan"
"2824","144","1400000US26001970400","Census Tract 9704, Alcona County, Michigan"
"1989","108","1400000US26001970500","Census Tract 9705, Alcona County, Michigan"
"1447","119","1400000US26001970600","Census Tract 9706, Alcona County, Michigan"
"0","10","1400000US26001990000","Census Tract 9900, Alcona County, Michigan"
"3511","253","1400000US26003000100","Census Tract 1, Alger County, Michigan"
"2818","208","1400000US26003000200","Census Tract 2, Alger County, Michigan"
"2865","243","1400000US26003000300","Census Tract 3, Alger County, Michigan"
"0","10","1400000US26003990000","Census Tract 9900, Alger County, Michigan"
"3161","198","1400000US26005030200","Census Tract 302, Allegan County, Michigan"
"7723","34","1400000US26005030300","Census Tract 303, Allegan County, Michigan"
"7722","21","1400000US26005030401","Census Tract 304.01, Allegan County, Michigan"
"5258","144","1400000US26005030402","Census Tract 304.02, Allegan County, Michigan"
"7759","140","1400000US26005030500","Census Tract 305, Allegan County, Michigan"
"5033","227","1400000US26005030600","Census Tract 306, Allegan County, Michigan"
"4962","223","1400000US26005030702","Census Tract 307.02, Allegan County, Michigan"
"2944","252","1400000US26005030703","Census Tract 307.03, Allegan County, Michigan"
"5021","249","1400000US26005030704","Census Tract 307.04, Allegan County, Michigan"
"5009","232","1400000US26005030800","Census Tract 308, Allegan County, Michigan"
"3102","140","1400000US26005030901","Census Tract 309.01, Allegan County, Michigan"
"2506","140","1400000US26005030902","Census Tract 309.02, Allegan County, Michigan"
"6133","366","1400000US26005031000","Census Tract 310, Allegan County, Michigan"
"6522","232","1400000US26005031100","Census Tract 311, Allegan County, Michigan"
"5601","234","1400000US26005031200","Census Tract 312, Allegan County, Michigan"
"4831","176","1400000US26005031300","Census Tract 313, Allegan County, Michigan"
"4613","244","1400000US26005031800","Census Tract 318, Allegan County, Michigan"
"5105","243","1400000US26005031900","Census Tract 319, Allegan County, Michigan"
"5190","288","1400000US26005032000","Census Tract 320, Allegan County, Michigan"
