GEOID20,DISTRICT
26003003001,1
26003003007,1
26003003010,1
26003003005,1
26003003009,1
26003003006,1
26003003003,1
26129129017,1
26129129004,1
26129129010,1
26129129012,1
26129129005,1
26129129014,1
26129129006,1
26129129003,1
26129129007,1
26129129013,1
26129129001,1
26129129011,1
26129129008,1
26129129002,1
26129129009,1
26129129016,1
26129129015,1
26107107015,2
26107107009,2
26107107016,2
26107107021,2
26107107011,2
26107107020,2
26107107004,2
26107107012,2
26107107001,2
26107107006,2
26003003002,1
26003003004,1
26007007017,1
26007007015,1
26007007013,1
26007007014,1
26007007016,1
26007007004,1
26007007001,1
26117117023,2
26117117001,2
26117117030,2
26117117002,2
26117117013,2
26117117027,2
26117117024,2
26117117016,2
26117117019,2
26117117012,2
26117117003,2
26117117026,2
26117117020,2
26117117022,2
26117117005,2
26037037022,7
26037037024,7
26037037033,7
26037037011,7
26037037006,7
26037037009,7
26037037021,7
26037037019,7
26037037026,7
26037037008,7
26037037017,7
26037037031,7
26037037018,7
26037037004,7
26037037027,7
26037037013,7
26037037014,7
26037037007,7
26037037001,7
26037004042,7
26037037016,7
26113113003,1
26113113005,1
26113113009,1
26117117007,2
26117117014,2
26117117025,2
26117117006,2
26117117010,2
26117117017,2
26117117008,2
26117117011,2
26117117028,2
26117117015,2
26117117018,2
26117117029,2
26117117004,2
26117117009,2
26163163318,13
26163163567,13
26163163920,6
26163163134,12
26163163513,13
26163163463,13
26163163028,6
26163163294,12
26163163843,12
26163163329,13
26163163001,13
26163163336,13
26163163346,13
26163163738,13
26163163889,13
26163163473,13
26163163875,13
26163163451,13
26163163628,13
26163163953,12
26163163063,6
26163163861,13
26163163383,13
26163163810,6
26163163670,6
26121121055,3
26121121054,3
26121121041,2
26121121067,2
26121121039,2
26121121022,2
26121121008,2
26121121006,2
26121121028,3
26121121061,3
26121121001,2
26121121010,2
26121121066,2
26121121047,3
26121121045,3
26095095001,1
26095095004,1
26095095002,1
26157157009,9
26157157017,9
26157157007,9
26157157002,9
26157157013,9
26157157004,8
26157157001,9
26157157026,9
26157157012,9
26157157020,9
26157157025,9
26157157028,9
26157157016,9
26157157022,9
26157157014,9
26157157031,9
26157157015,9
26157157018,9
26157157011,9
26157157023,9
26157157006,9
26157157032,9
26157157030,9
26157157021,9
26047047012,1
26047047020,1
26047047008,1
26047047022,1
26047047003,1
26047047019,1
26047047021,1
26047047010,1
26047047013,1
26047047007,1
26047047011,1
26047047016,1
26047047009,1
26047047014,1
26047047023,1
26047047005,1
26047047001,1
26047047006,1
26047047004,1
26047047017,1
26047047015,1
26057057008,2
26057057014,2
26039039005,1
26039039008,1
26039039007,1
26039039006,1
26039039010,1
26039039001,1
26039039004,1
26039039002,1
26039039003,1
26039039009,1
26047047018,1
26157157003,9
26157157024,9
26157157027,9
26157157008,9
26157157005,9
26017017029,8
26017017025,8
26017017036,8
26017017042,8
26017017013,8
26017017037,8
26017017022,8
26017017031,8
26017017023,8
26017017041,8
26017017026,8
26017017035,8
26017017020,8
26017017034,8
26017017043,8
26017017015,8
26017017030,8
26017017021,8
26017017006,8
26017017045,8
26017017039,8
26017017028,8
26017017040,8
26017017017,8
26017017009,8
26017017003,8
26017017044,8
26017017012,8
26145145039,8
26145145081,8
26145145069,8
26145145007,8
26145145083,8
26145145027,8
26145145048,8
26145145061,8
26145145006,8
26145145072,8
26121121002,2
26121121029,3
26121121009,2
26121121019,2
26121121020,2
26121121034,3
26121121021,2
26121121007,2
26121121051,3
26121121052,3
26121121027,3
26121121013,3
26121121033,3
26121121030,3
26121121036,3
26121121012,2
26121121044,3
26121121025,3
26121121040,2
26121121024,3
26121121050,3
26121121026,3
26121121043,3
26121121057,3
26121121035,3
26121121017,2
26121121063,3
26121121018,2
26121121059,3
26121121037,3
26121121058,3
26121121032,3
26121121042,3
26121121062,3
26145145003,8
26145145021,8
26145145022,8
26145145001,8
26145145058,8
26145145013,8
26145145031,8
26007007008,1
26007007009,1
26007007002,1
26007007003,1
26007007012,1
26007007011,1
26007007007,1
26007007006,1
26007007010,1
26007007005,1
26017017016,8
26017017033,8
26017017014,8
26017017008,8
26017017018,8
26017017019,8
26017017002,8
26017017004,8
26017017032,8
26017017005,8
26017017010,8
26017017038,8
26017017001,8
26009009003,1
26009009008,1
26009009016,1
26009009001,1
26009009004,1
26009009009,1
26009009014,1
26009009012,1
26009009005,1
26009009006,1
26009009007,1
26009009013,1
26009009015,1
26009009010,1
26009009002,1
26009009011,1
26017017011,8
26017017046,8
26017017007,8
26017017027,8
26017017024,8
26017001004,8
26163163727,12
26163163705,13
26163163370,13
26163163440,13
26163163042,6
26163163877,13
26163163217,12
26163163551,13
26163163982,13
26163163026,6
26163163957,12
26163163374,13
26163163662,12
26163163229,13
26163163757,12
26163163766,12
26163163438,13
26163163315,13
26163163538,13
26163163884,6
26163163742,13
26163163067,6
26163163480,13
26163163068,6
26163163356,13
26163163625,13
26163163231,13
26163163260,12
26163163573,13
26163163447,13
26163163885,6
26163163025,6
26163163061,6
26163163338,13
26163163015,13
26163163657,12
26163163776,12
