,GEOID20,VTD,COUNTY_FIPS,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered
0,26003003010,3010,3,1231,7.115582126,0.721936275,64.7,0.944760357,0.055239643,0.000812348,0.91226645,0.000812348,0.022745735,0.002437043,0,0.309551088,-0.00469894,0.184799819,0.4019,0.393943936,561,0.6875
1,26005005009,5009,5,3334,8.111928063,0.65518617,993.6,0.946910618,0.053089382,0.00119976,0.921115777,0.00659868,0.00329934,0.0044991,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1872,0.829787234
2,26005005031,5031,5,2436,7.798112629,0.427520278,498.6,0.947044335,0.052955665,0.001642036,0.897372742,0.007389163,0.00862069,0.001231527,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1281,0.742178447
3,26005005035,5035,5,3133,8.049746291,0.677496671,1302.2,0.96137887,0.03862113,0.003191829,0.934567507,0.005106926,0.000957549,0.007979572,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1934,0.858411008
4,26005005042,5042,5,2530,7.835974582,0.568021108,450.5,0.943478261,0.056521739,0.003952569,0.92055336,0.009090909,0.002766798,0.003952569,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1307,0.689709763
5,26003003007,3007,3,2865,7.960323629,0.621261261,477,0.941012216,0.058987784,0.002094241,0.681326353,0.201745201,0.048167539,0.003490401,0.00034904,0.309551088,-0.00469894,0.184799819,0.4019,0.393943936,1276,0.766366366
6,26005005003,5003,5,3246,8.085178748,0.63087443,549.7,0.954097351,0.045902649,0.001540357,0.912815773,0.011706716,0.004929144,0.006777572,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1830,0.758392043
7,26005005018,5018,5,1635,7.399398083,0.53507109,12.8,0.924159021,0.075840979,0.003058104,0.814678899,0.044648318,0.005504587,0.013455657,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,955,0.754344392
8,26005005016,5016,5,2462,7.808729307,0.582681564,261,0.939886271,0.060113729,0.002437043,0.910235581,0.008123477,0.002843217,0.006092608,0.000406174,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1278,0.71396648
9,26005005017,5017,5,3937,8.278174291,0.570134344,1152.6,0.947421895,0.052578105,0.001270003,0.92024384,0.003556007,0.004064008,0.006858014,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,2259,0.778160524
10,26005005029,5029,5,3312,8.105307516,0.605424144,783,0.930555556,0.069444444,0.001207729,0.867753623,0.007548309,0.003321256,0.006038647,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,1916,0.781402936
11,26005005046,5046,5,3573,8.181160858,0.513397299,796,0.946543521,0.053456479,0.001959138,0.90484187,0.005597537,0.015393227,0.005877414,0,0.355324573,0.004376983,0.100803306,0.403,0.707474025,2106,0.748400853
12,26009009002,9002,9,2159,7.677400431,0.632488114,354.4,0.955998147,0.044001853,0.002315887,0.93422881,0.000463177,0.011579435,0.004168597,0.000463177,0,-0.012295082,0.119969271,0.4561,0.497459686,1423,0.751716852
